Aloo Tikki,Alphabytes,Bacon,Bar,Batter,Beans,Bites,Breakfast Bar,Breakfast Mix,Capers (Kachra),Chapati,Cheesy Triangle,Chicken,Chicken & Cheese Nuggets,Chicken Breast,Chicken Meatballs,Chicken Sausage,Chicken Tikka,Coconut,Combo,Crispy Potato,Cup Noodles,Curry,Custard Powder,Dal Makhani,Dessert Mix,Domestic Pasta,Dosa Mix,Drink Mix,Energy Bar,Fingers,Fish,Flakes,Flavoured Instant Noodles,Flavoured Milk,French Fries,Fries,Fruit Cocktail,Gherkins,Green Peas,Hakka Noodles,Ham,Health Drink,Idli,Instant Mix,Instant Pasta,Jalapeno,Kabuli Chana,Kala Chana,Kebab,Khichdi Mix,Kimchi,Macaroni,Masala Mix,Mix,Mixed Vegetables,Momos,Mushroom,Naan,Noodles,Nori Sheet,Nugget,Nuggets,Nutrition Bar,Olives,Pani Puri,Parantha,Paratha,Parota,Pasta,Pasta Kit,Patty,Peppercorns,Pineapple,Pizza Pocket,Popcorn,Pops,Prawns,Protein Bar,RTE Wrap,Ragi Flour,Rajma,Raw Chicken,Ready to Eat,Rice Flour,Rice Masala,Rice Paper,Salami,Samosa,Sauce,Sausage,Smiles,Soup,Soya Chaap,Soyabeans,Spaghetti,Spice Mix,Spring Roll,Sweet Corn,Taco Kit,Taco Shells,Thepla,Tomatoes,Tortilla,Upma,Vada,Wedges
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,22,3,0,650,1,2,12,1129,0,1,24,2,7,0,1,25,1,15,2,0,249,0,4,0,61,3542,1,3,12,121,4,0,580,0,503,7,9,0,944,119,8,0,9,191,1480,0,1,0,70,0,0,0,0,32,57,90,0,0,10422,0,12,596,73,41,8,24,2,1,607,0,230,0,15,122,22,0,10,69,17,1,0,4,76,0,54,0,55,1,0,76,230,275,118,0,0,1,1,491,0,0,0,0,1,64,6,6
2,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
18,7,1,0,64,0,0,0,113,0,0,0,1,0,0,0,1,0,4,2,0,15,0,33,0,46,39,1,2,0,8,0,0,25,0,27,1,10,0,36,4,1,0,2,78,35,0,0,0,10,0,0,32,0,0,8,12,0,1,192,0,1,30,2,3,0,6,0,0,18,0,14,0,8,14,4,1,1,1,4,1,0,0,18,0,1,0,2,0,0,15,10,12,7,0,0,0,1,18,0,0,0,0,0,8,15,1
70,7,4,0,123,0,0,7,130,0,0,4,2,3,2,1,4,0,53,1,0,25,0,1,2,8,82,0,0,3,38,1,0,62,0,99,4,2,0,1001,9,7,0,5,37,66,0,1,1,37,0,0,57,0,8,0,43,0,4,388,0,1,98,14,3,1,31,3,0,14,0,45,0,3,31,10,0,8,18,8,1,1,3,43,0,10,0,32,2,0,35,17,44,74,0,0,0,2,323,0,0,0,0,0,12,9,0
216,46,74,0,350,1,14,6,190,0,2,123,85,56,33,14,95,8,14,4,0,240,0,0,0,24,165,2,3,12,268,27,0,462,0,734,154,6,0,257,31,47,0,24,70,331,0,0,1,809,0,0,90,0,12,43,0,0,19,1351,0,83,1076,56,25,5,90,18,4,104,0,426,0,4,521,211,1,101,66,37,0,1,14,160,0,14,0,303,21,0,508,178,102,94,0,0,2,40,170,0,0,0,0,3,21,43,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,5,0,5,0,3,0,0,0,2,0,0,0,1,0,3,0,0,3,0,0,0,2,3,0,0,0,1,0,0,3,0,11,1,0,0,5,1,2,0,5,4,2,0,0,0,7,0,0,0,0,1,4,19,0,0,24,0,0,12,0,0,0,84,0,0,0,0,4,0,0,5,4,0,3,0,0,0,0,0,13,0,1,0,3,6,0,2,3,1,5,0,0,1,8,3,0,0,0,0,0,0,2,0
1953,186,48,0,6053,14,13,242,7326,0,28,204,70,74,22,10,244,6,185,41,0,6518,0,71,25,570,9983,23,28,192,1006,22,0,13615,2,3729,153,26,0,5761,929,73,0,58,1417,20678,0,7,6,793,1,0,10422,11,192,388,1351,0,24,0,0,148,4539,941,162,66,292,47,25,2456,1,1468,0,55,912,292,2,162,944,119,19,8,40,1275,0,335,0,679,13,0,895,1493,3711,637,0,0,19,23,2524,0,0,0,0,7,415,103,51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9,5,0,43,0,0,0,18,0,0,9,24,19,8,2,42,0,0,0,0,8,0,1,0,0,17,0,0,0,108,4,0,13,0,192,46,0,0,34,6,5,0,2,2,26,0,0,0,154,0,0,12,0,1,1,83,0,0,148,0,0,269,3,0,1,2,0,0,8,0,66,0,0,22,118,0,9,2,3,0,0,2,7,0,1,0,50,0,0,109,105,12,0,0,0,0,1,13,0,0,0,0,0,3,2,3
3158,273,27,0,688,1,37,19,689,0,6,500,106,178,24,29,172,4,43,2,9,385,0,7,1,49,660,0,6,15,3834,15,0,654,1,9306,419,12,0,1148,54,43,0,32,172,1144,0,2,0,1216,0,0,596,2,30,98,1076,0,12,4539,0,269,0,94,34,9,173,29,11,221,0,1910,0,13,2482,798,2,66,80,49,1,0,18,198,0,29,0,388,39,0,702,4262,250,216,0,0,7,50,652,0,0,0,0,4,39,142,184
36,5,5,0,226,1,0,1905,289,0,3,7,4,2,0,2,16,0,5,2,0,256,0,2,4,6,126,3,2,817,23,2,0,252,0,58,3,2,0,152,14,9,0,1,49,262,0,1,1,30,0,0,73,0,2,14,56,0,0,941,0,3,94,0,15,2,21,2,1,66,0,56,0,8,38,13,0,11,6932,21,1,0,0,78,0,4,0,53,1,0,47,29,69,24,0,0,0,2,99,0,0,0,0,0,15,4,3
19,0,2,0,62,2,0,4,25,0,0,3,1,1,1,0,6,0,7,0,0,18,0,1,0,2,187,0,0,7,13,1,0,32,0,41,1,5,0,58,10,3,0,0,18,30,0,0,0,17,0,0,41,0,3,3,25,0,0,162,0,0,34,15,0,1,2,1,0,150,0,23,0,17,9,7,1,5,25,20,0,0,0,14,0,2,0,31,0,0,19,10,14,9,0,0,0,1,123,0,0,0,0,0,2,2,0
7,0,1,0,18,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,5,11,0,0,0,4,0,0,7,0,9,1,0,0,4,2,1,0,0,2,14,0,1,0,1,0,0,8,0,0,1,5,0,0,66,0,1,9,2,1,0,1,0,0,2,0,5,0,0,3,0,0,0,1,2,0,1,0,28,0,0,0,2,0,0,2,3,5,4,0,0,0,0,6,0,0,0,0,0,2,0,0
89,10,3,0,204,0,16,7,129,0,8,17,4,4,0,0,16,0,24,2,0,45,0,1,2,7,38,0,2,2,46,2,0,54,1,137,12,2,0,105,10,8,0,21,58,78,0,2,1,90,0,0,24,0,6,31,90,0,84,292,0,2,173,21,2,1,0,68,26,11,0,104,0,3,40,21,0,7,18,2,0,1,1,229,0,5,0,34,29,0,64,32,28,34,0,0,6,14,35,0,0,0,0,1,10,21,4
10,4,1,0,19,0,0,2,19,0,0,5,4,1,1,1,0,0,2,0,0,9,0,0,2,0,12,0,0,1,2,1,0,19,0,17,2,0,0,16,1,1,0,1,4,8,0,1,0,12,0,0,2,0,0,3,18,0,0,47,0,0,29,2,1,0,68,0,0,4,0,17,0,0,10,2,0,1,3,1,0,0,1,20,0,0,0,9,0,0,12,6,4,3,0,0,0,0,10,0,0,0,0,0,2,3,1
2,0,0,0,50,0,0,0,19,0,21,0,0,0,0,0,1,0,1,0,0,3,0,0,0,2,6,0,0,0,1,0,0,10,0,2,0,1,0,2,1,1,0,0,3,3,0,0,0,3,0,0,1,0,0,0,4,0,0,25,0,0,11,1,0,0,26,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,19,0,1,0,2,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
89,9,19,0,333,2,2,20,278,0,1,5,2,8,5,5,29,1,15,8,0,181,0,2,1,23,1304,2,0,20,50,3,0,308,0,195,10,1,0,302,82,8,0,1,79,905,0,1,0,62,0,0,607,0,18,14,104,0,0,2456,0,8,221,66,150,2,11,4,2,0,0,96,0,6,51,14,0,41,83,32,1,1,7,46,0,11,0,46,0,0,107,68,160,39,0,0,1,3,237,0,0,0,0,1,17,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,61,24,0,348,1,8,11,295,0,1,91,53,44,17,8,121,9,22,2,1,131,0,3,2,20,279,0,1,7,550,25,0,233,0,1720,228,5,0,410,31,63,0,14,83,328,0,1,0,532,0,0,230,2,14,45,426,0,4,1468,0,66,1910,56,23,5,104,17,1,96,0,0,0,4,439,213,2,54,54,53,1,2,8,96,0,9,0,372,10,0,470,468,83,111,0,0,3,11,211,0,0,0,0,6,16,33,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,0,15,0,0,1,7,0,0,3,0,0,1,0,0,0,7,0,0,6,0,0,0,0,14,0,0,4,6,0,0,8,0,12,1,26,0,16,1,0,0,0,5,9,0,0,0,4,0,0,15,1,8,3,4,0,0,55,0,0,13,8,17,0,3,0,0,6,0,4,0,0,4,0,1,3,5,1,0,0,0,9,0,1,0,6,0,0,4,4,3,2,0,0,0,1,17,0,0,0,0,1,2,3,0
576,189,1,0,150,0,5,8,211,0,2,510,20,40,7,4,12,0,8,1,0,87,0,1,4,19,138,0,0,1,799,1,0,127,0,1805,107,0,0,255,15,8,0,13,59,252,0,1,0,243,0,0,122,0,14,31,521,0,5,912,0,22,2482,38,9,3,40,10,1,51,0,439,0,4,0,100,6,16,29,16,0,0,0,88,0,6,0,49,14,0,74,511,56,86,0,0,1,21,162,0,0,0,0,5,17,70,29
54,27,14,0,45,0,4,1,45,0,0,37,34,64,3,8,58,4,5,0,0,39,0,0,0,6,48,0,0,2,193,7,0,80,0,347,146,0,0,70,6,10,0,6,10,59,0,0,0,337,0,0,22,0,4,10,211,0,4,292,0,118,798,13,7,0,21,2,2,14,0,213,0,0,100,0,0,19,15,5,0,0,4,24,0,4,0,128,0,0,218,85,15,15,0,0,0,5,52,0,0,0,0,2,1,8,9
2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2,27,0,55,0,0,4,28,0,0,5,14,5,8,2,23,1,15,2,0,26,0,0,0,2,43,0,0,3,7,36,0,49,0,27,18,0,0,54,6,11,0,1,7,29,0,0,0,98,0,0,10,0,1,8,101,0,3,162,0,9,66,11,5,0,7,1,1,41,0,54,0,3,16,19,0,0,12,0,1,0,10,10,0,2,0,60,1,0,107,5,13,5,0,0,0,2,15,0,0,0,0,0,4,2,1
25,5,5,0,266,3,0,878,236,0,3,2,3,2,1,0,20,0,11,2,0,233,0,0,2,6,107,1,2,1570,27,4,0,227,1,65,5,3,0,144,6,15,1,0,47,213,0,1,1,48,0,0,69,0,1,18,66,0,0,944,0,2,80,6932,25,1,18,3,0,83,0,54,0,5,29,15,0,12,0,21,0,0,4,88,0,5,0,59,2,0,73,26,67,20,0,0,0,1,104,0,0,0,0,1,18,6,3
40,2,3,0,48,2,0,8,46,0,0,6,7,2,8,0,9,0,1,1,0,21,0,0,0,1,37,0,0,4,9,2,0,22,0,45,4,2,0,25,2,8,0,1,11,20,0,0,0,60,0,0,17,0,4,8,37,0,0,119,0,3,49,21,20,2,2,1,0,32,0,53,0,1,16,5,0,0,21,0,0,0,4,8,0,1,0,37,0,0,25,10,8,12,0,0,0,0,51,0,0,0,0,4,5,3,0
1,0,0,0,18,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,4,4,0,0,0,1,0,0,1,0,1,1,0,0,0,19,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,3,0,12,7,1,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,0,4,0,18,0,0,0,6,0,0,1,3,4,2,1,4,1,1,1,0,4,0,0,0,1,9,0,0,1,4,3,0,13,0,4,2,2,0,13,2,2,0,0,4,4,0,0,0,40,0,0,4,0,0,3,14,0,0,40,0,2,18,0,0,0,1,1,0,7,0,8,0,0,0,4,0,10,4,4,0,0,0,2,0,0,0,35,0,0,23,4,4,1,0,0,0,0,5,0,0,0,0,1,0,1,1
96,10,9,0,384,2,0,23,2099,0,22,16,11,8,2,4,45,5,15,10,0,391,0,1,20,41,123,0,4,21,45,3,0,414,0,168,20,3,0,153,11,9,0,22,318,559,0,9,9,113,1,0,76,0,18,43,160,0,13,1275,0,7,198,78,14,28,229,20,19,46,0,96,0,9,88,24,0,10,88,8,1,7,2,0,0,12,0,99,1,0,147,32,155,44,0,0,5,5,139,0,0,1,0,2,227,21,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,52,0,0,1,44,0,1,1,1,1,0,0,1,0,3,1,0,18,0,0,1,14,60,0,0,1,10,0,0,59,0,29,2,0,0,70,19,0,0,0,160,51,0,1,0,10,0,0,54,0,1,10,14,0,1,335,0,1,29,4,2,0,5,0,1,11,0,9,0,1,6,4,0,2,5,1,0,0,0,12,0,0,0,7,1,0,8,5,39,6,0,0,1,3,33,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7,117,0,99,6,2,16,106,0,0,19,56,25,35,17,282,8,10,1,0,77,0,1,0,5,113,1,0,12,87,22,0,207,0,192,112,1,0,179,12,340,0,6,19,134,0,0,0,1038,0,0,55,0,2,32,303,0,3,679,0,50,388,53,31,2,34,9,2,46,0,372,0,6,49,128,0,60,59,37,0,0,35,99,0,7,0,0,2,0,1707,64,52,23,0,0,1,1,106,0,0,0,0,5,7,7,7
13,2,1,0,4,0,7,1,2,0,0,4,1,0,0,0,1,1,0,0,0,2,0,0,0,2,3,0,1,0,11,0,0,1,0,30,4,0,0,6,1,1,0,0,1,2,0,0,0,4,0,0,1,0,0,2,21,0,6,13,0,0,39,1,0,0,29,0,0,0,0,10,0,0,14,0,0,1,2,0,0,0,0,1,0,1,0,2,0,0,0,8,3,4,0,0,0,17,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,15,157,0,193,7,2,16,133,0,2,17,64,40,32,19,417,4,11,2,0,142,0,0,0,14,196,2,1,8,129,24,0,286,0,295,153,2,0,235,22,264,0,3,35,186,0,1,0,836,0,0,76,0,15,35,508,0,2,895,0,109,702,47,19,2,64,12,2,107,0,470,0,4,74,218,0,107,73,25,1,0,23,147,0,8,0,1707,0,0,0,81,77,30,0,0,0,7,111,0,0,0,0,4,10,12,6
882,127,2,0,223,1,1,2,229,0,1,102,11,34,0,2,23,0,16,2,0,79,0,3,1,25,215,0,2,4,945,3,0,112,0,3565,39,4,0,387,22,4,0,12,47,299,0,0,0,149,0,0,230,0,10,17,178,0,3,1493,0,105,4262,29,10,3,32,6,0,68,0,468,0,4,511,85,2,5,26,10,0,0,4,32,0,5,0,64,8,0,81,0,73,54,0,0,0,6,176,0,0,0,0,1,12,29,67
99,9,6,0,341,2,1,20,519,0,4,15,3,8,2,1,17,0,8,3,0,659,0,3,2,36,380,7,5,12,60,5,0,828,0,180,7,2,0,266,64,8,0,5,178,1400,0,3,2,64,0,0,275,1,12,44,102,0,1,3711,0,12,250,69,14,5,28,4,1,160,0,83,0,3,56,15,0,13,67,8,3,2,4,155,0,39,0,52,3,0,77,73,0,45,0,0,2,2,224,0,0,0,0,1,39,7,2
110,18,5,0,206,0,1,2,183,0,0,22,2,1,0,2,7,2,22,0,0,49,0,1,1,8,157,0,0,4,59,3,0,89,0,218,6,2,0,520,15,3,0,5,53,118,0,2,1,52,0,0,118,0,7,74,94,0,5,637,0,0,216,24,9,4,34,3,0,39,0,111,0,2,86,15,0,5,20,12,0,0,1,44,0,6,0,23,4,0,30,54,45,0,0,0,3,7,220,0,0,0,0,2,13,12,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,8,0,0,0,8,0,0,0,1,0,0,0,1,1,5,0,0,2,0,0,0,1,1,0,0,0,1,1,0,4,0,3,1,0,0,7,1,0,0,1,63,6,0,0,0,1,0,0,1,0,0,0,2,0,1,19,0,0,7,0,0,0,6,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,2,0,0
14,0,3,0,7,0,9,0,4,0,0,7,2,1,0,0,6,0,0,1,0,1,0,0,0,2,3,0,0,0,12,0,0,6,0,39,4,0,0,21,1,1,0,1,3,6,0,0,0,22,0,0,1,0,1,2,40,0,8,23,0,1,50,2,1,0,14,0,1,3,0,11,0,1,21,5,0,2,1,0,0,0,0,5,0,3,0,1,17,0,7,6,2,7,0,0,0,0,7,0,0,0,0,0,0,6,2
294,25,7,0,678,7,1,18,577,0,3,51,8,11,3,5,27,6,99,7,0,171,0,4,5,29,915,5,6,24,161,5,0,267,0,678,22,16,0,5176,51,9,0,12,160,463,0,3,3,154,0,0,491,4,18,323,170,0,3,2524,0,13,652,99,123,6,35,10,2,237,0,211,0,17,162,52,0,15,104,51,2,2,5,139,0,33,0,106,0,0,111,176,224,220,0,0,2,7,0,0,0,0,0,5,43,23,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,5,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,3,3,0,0,7,0,1,0,0,5,1,0,0,0,4,0,0,1,0,0,0,3,0,0,7,0,0,4,0,0,0,1,0,0,1,0,6,0,1,5,2,0,0,1,4,0,0,1,2,0,0,0,5,0,0,4,1,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0
18,1,0,0,80,1,0,6,1358,0,0,7,0,1,1,1,1,0,2,1,0,52,0,0,2,8,41,0,3,4,12,1,0,52,0,38,4,2,0,48,5,1,0,2,86,154,0,2,0,12,0,0,64,0,8,12,21,0,0,415,0,3,39,15,2,2,10,2,0,17,0,16,0,2,17,1,0,4,18,5,0,0,0,227,0,1,0,7,0,0,10,12,39,13,0,0,2,0,43,0,0,0,0,0,0,4,0
77,12,2,0,52,0,0,2,40,0,0,27,1,1,0,0,0,1,5,1,0,17,0,0,0,2,10,0,0,1,46,2,0,17,0,113,8,0,0,35,1,3,0,77,24,32,0,0,0,32,0,0,6,0,15,9,43,0,2,103,0,2,142,4,2,0,21,3,0,4,0,33,0,3,70,8,1,2,6,3,0,0,1,21,0,0,0,7,3,0,12,29,7,12,0,0,0,6,23,0,0,0,0,0,4,0,1
49,3,0,0,11,0,0,1,12,0,0,9,1,3,0,0,1,0,1,0,0,9,0,0,0,1,7,0,0,1,54,1,0,4,0,146,4,1,0,18,0,0,0,1,4,18,0,0,0,13,0,0,6,0,1,0,24,0,0,51,0,3,184,3,0,0,4,1,0,1,0,46,0,0,29,9,0,1,3,0,0,0,1,2,0,0,0,7,1,0,6,67,2,4,0,0,0,2,18,0,0,0,0,0,0,1,0
