Almonds,Aloo Chips,Badi,Banana Chips,Bhakarwadi,Bhakarwadi Namkeen,Bhakri,Bhel Namkeen,Bhelpuri,Bhujia,Boondi Namkeen,Cashews,Chakli,Chana,Chana Jor,Cheese Balls,Cheese Cracker,Chips,Chivda Namkeen,Cocktail Nuts,Combo,Cookies,Corn,Corn Chips,Crisps,Dal,Dal Namkeen,Dried Mango,Flakes,Flavoured Almonds,Flavoured Cashew,Flax Seeds,Fryums,Gift Pack,Green Peas,Kachori,Kaju Badam,Khakhra,Khakhra Namkeen,Khari,Lachha,Makhana,Masala Kaju,Mathi,Mathri,Mathri Namkeen,Methi Mathi,Mix,Mixture,Mixture Namkeen,Murukku,Murukku Namkeen,Nacho,Nachos,Nachos & Salsa,Namak Para,Namakpara,Namkeen,Namkeen Mixture,Nuts,Pani Puri,Papad,Peanut Namkeen,Peanuts,Pita Chips,Popcorn,Potato Chips,Potato Stick,Potato Wafers,Puffs,Samosa,Seeds,Sev,Sevpuri,Snack,Soya Chips,Soya Sticks,Soyabeans,Sticks,Straws,Sweet Corn,Taco Shell,Taco Shells,Thattai,Trail Mix,Tub,Walnuts
0,1,0,21,0,6,0,9,2,22,4,98,4,8,1,5,0,74,1,43,4,0,0,0,43,0,6,5,2,13,4,3,0,0,12,1,2,5,0,0,0,89,1,0,4,0,0,10,0,20,0,5,0,29,12,0,1,71,0,4,0,7,53,0,2,19,83,0,1,20,4,13,1,1,42,0,0,3,2,1,0,0,0,0,8,0,0
1,0,8,258,5,18,0,75,5,273,68,1,0,21,3,64,0,734,11,7,29,0,9,0,772,0,51,4,3,1,1,0,1,0,2,0,0,7,6,0,257,113,0,16,37,6,5,9,241,155,1,73,0,179,51,0,22,725,0,0,1,134,189,0,9,131,1058,2,138,349,8,4,15,5,15,0,16,3,2,2,2,1,2,0,3,2,0
0,8,0,51,8,22,0,67,2,173,55,1,0,24,3,10,0,124,5,5,3,0,2,0,150,0,34,0,1,0,3,0,0,0,4,0,0,7,7,0,10,18,0,16,39,17,8,3,3,131,0,75,0,73,11,0,11,412,1,0,0,39,165,0,0,50,166,0,10,62,14,1,21,2,8,0,3,2,0,0,0,0,2,0,2,0,0
21,258,51,0,54,932,11,1322,69,2747,753,40,393,282,43,688,2,7944,782,74,335,1,12,0,7826,0,932,11,17,28,29,12,2,0,39,42,17,428,20,8,101,1269,3,42,235,62,23,67,37,2066,32,1134,0,2415,446,1,43,7473,12,16,19,1259,2237,2,73,1736,13122,2,171,3487,49,42,688,22,241,133,282,37,110,21,2,14,14,2,29,7,0
0,5,8,54,0,21,1,57,0,140,32,2,0,16,3,5,0,127,3,2,14,0,1,0,144,0,19,1,0,0,0,0,0,0,1,0,0,8,5,2,4,38,0,28,37,18,11,1,1,119,1,75,0,56,12,0,37,375,3,0,0,38,140,0,1,38,163,0,19,54,22,1,11,3,9,0,2,2,6,0,0,0,0,0,1,1,0
6,18,22,932,21,0,4,790,25,1320,409,6,245,99,8,121,1,1161,426,16,84,1,0,0,1596,0,482,2,4,9,2,1,1,0,18,167,14,343,17,8,16,239,4,17,188,47,9,12,6,1034,23,809,0,685,92,1,11,3581,5,1,7,390,1166,0,18,421,2059,2,28,612,59,10,292,12,66,43,46,3,45,2,1,1,4,0,5,2,0
0,0,0,11,1,4,0,9,2,10,6,1,3,4,0,3,0,12,3,0,1,0,0,0,17,0,2,1,0,0,0,0,0,0,1,0,0,60,0,1,0,8,0,1,3,1,0,0,0,7,0,1,0,10,0,0,0,31,0,0,1,36,8,0,0,12,26,0,2,12,0,0,3,1,2,2,0,0,2,0,0,0,0,0,0,0,0
9,75,67,1322,57,790,9,0,111,7980,2236,20,169,391,25,397,1,6631,649,44,387,1,6,0,8263,0,1859,8,17,22,17,12,7,0,24,98,4,382,41,4,114,973,4,43,462,125,10,72,14,5049,19,1008,0,2789,433,0,36,15931,22,7,28,1542,5080,1,40,2427,10122,10,95,3463,32,30,846,43,188,122,239,19,89,16,7,20,12,1,26,5,1
2,5,2,69,0,25,2,111,0,93,16,3,10,9,9,16,0,294,15,7,20,0,2,0,237,0,21,3,5,10,4,0,0,0,6,2,2,43,1,0,11,196,1,0,6,0,1,9,0,53,1,30,0,76,48,0,1,296,3,5,28,52,65,1,4,93,263,0,1,125,1,12,9,43,37,3,4,5,11,8,0,1,1,0,8,1,0
22,273,173,2747,140,1320,10,7980,93,0,6173,49,239,1246,51,940,2,17875,997,51,649,2,8,0,20737,0,8154,12,31,60,36,11,24,0,55,107,17,568,71,7,356,1729,6,99,1327,390,56,117,65,18165,29,2213,0,6015,748,1,145,41818,38,9,18,5650,14329,0,54,5433,26445,16,218,7924,70,31,2276,24,330,110,411,33,113,17,7,24,16,0,40,10,0
4,68,55,753,32,409,6,2236,16,6173,0,14,86,547,9,217,0,4029,173,20,153,0,5,0,4659,0,1354,0,8,8,8,11,11,0,25,36,5,140,10,4,46,477,2,27,420,110,20,48,14,3682,4,716,0,1395,133,1,30,12305,4,3,11,2720,3840,0,10,1700,6716,7,64,2069,17,15,663,9,96,30,87,9,22,2,4,5,6,1,11,4,0
98,1,1,40,2,6,1,20,3,49,14,0,1,9,5,4,0,102,7,39,4,0,0,0,77,0,12,3,1,66,1,0,0,0,8,0,2,9,0,1,3,98,0,0,6,1,0,10,0,55,0,16,0,40,10,0,4,145,1,3,0,20,113,0,1,35,153,1,2,35,4,10,3,0,44,1,1,1,1,0,0,0,0,0,9,0,1
4,0,0,393,0,245,3,169,10,239,86,1,0,71,1,42,0,328,99,6,21,0,0,0,523,0,109,1,0,5,0,1,0,0,3,30,7,190,0,8,0,78,3,1,9,1,0,1,0,240,8,206,0,182,27,2,0,928,0,0,4,124,261,1,4,175,764,0,0,173,8,5,103,4,36,27,17,0,34,1,0,0,0,2,2,3,0
8,21,24,282,16,99,4,391,9,1246,547,9,71,0,53,44,0,921,50,16,41,0,4,0,1034,0,417,1,6,19,4,15,4,0,16,10,1,101,7,0,20,359,0,11,119,45,7,32,7,899,4,190,0,317,46,0,12,3384,3,3,2,566,1522,1,4,469,1441,1,38,494,6,13,129,6,58,8,22,32,19,3,1,4,2,0,11,0,1
1,3,3,43,3,8,0,25,9,51,9,5,1,53,0,4,0,163,2,10,5,1,0,0,70,0,9,2,45,2,3,11,0,0,11,0,1,11,1,0,7,164,0,0,6,1,0,17,2,26,0,9,0,43,11,0,1,213,26,3,1,25,57,0,4,48,116,0,2,54,1,13,5,1,31,0,3,78,14,0,1,0,1,0,38,0,0
5,64,10,688,5,121,3,397,16,940,217,4,42,44,4,0,0,4559,49,15,189,0,2,0,7657,0,213,4,6,6,7,1,3,0,7,10,3,69,6,3,20,361,1,3,54,10,2,20,8,388,2,152,0,1771,307,0,6,2208,1,7,4,324,765,1,32,1032,7035,3,25,3316,6,11,98,4,67,37,764,2,34,6,0,9,7,0,4,8,1
0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,4,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
74,734,124,7944,127,1161,12,6631,294,17875,4029,102,328,921,163,4559,4,0,716,209,2647,9,22,0,94638,0,3434,33,132,159,124,38,24,0,174,77,18,871,46,4,345,7133,3,102,898,247,55,426,68,8586,30,1955,1,24870,3707,0,110,37817,82,58,53,4819,15554,16,730,12849,144952,19,340,34749,78,136,1170,40,1073,200,2208,156,519,146,21,105,87,0,136,39,1
1,11,5,782,3,426,3,649,15,997,173,7,99,50,2,49,0,716,0,15,40,0,2,0,901,0,430,1,1,5,3,1,3,0,9,30,16,180,9,2,19,151,1,6,48,13,1,10,16,1075,13,355,0,281,42,0,4,2292,8,5,3,389,462,0,8,274,1388,3,15,339,25,8,421,6,50,17,28,3,26,3,0,0,2,0,1,0,0
43,7,5,74,2,16,0,44,7,51,20,39,6,16,10,15,0,209,15,0,10,1,0,0,109,0,18,8,4,23,5,0,0,0,23,2,0,8,1,1,0,166,0,4,9,0,4,44,3,60,1,25,0,96,31,0,3,246,3,11,0,25,170,1,3,67,268,0,3,65,6,46,11,6,228,3,4,7,1,1,1,1,2,0,13,1,1
4,29,3,335,14,84,1,387,20,649,153,4,21,41,5,189,1,2647,40,10,0,0,0,0,2675,0,117,2,10,14,10,3,1,0,10,6,1,56,4,0,22,316,0,9,35,13,1,30,1,323,3,107,0,1611,835,0,4,1598,5,4,5,230,653,0,55,716,3560,0,19,1263,4,6,59,5,48,18,86,7,52,3,1,21,15,0,7,3,1
0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,2,0,0,2,0,0,0,4,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
0,9,2,12,1,0,0,6,2,8,5,0,0,4,0,2,0,22,2,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,5,20,0,1,1,1,4,3,4,11,0,10,0,5,4,0,4,36,0,6,0,2,16,0,0,5,20,0,8,17,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,772,150,7826,144,1596,17,8263,237,20737,4659,77,523,1034,70,7657,3,94638,901,109,2675,1,21,0,0,0,4089,18,70,99,100,19,33,0,110,115,16,878,69,7,326,4814,17,79,975,274,39,246,59,9948,39,2291,0,30618,3714,0,101,47730,36,30,36,5572,14547,3,384,14955,144245,28,327,55948,83,89,1484,53,646,373,3083,79,454,94,31,92,81,1,74,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,51,34,932,19,482,2,1859,21,8154,1354,12,109,417,9,213,0,3434,430,18,117,0,3,0,4089,0,0,1,6,17,12,3,4,0,28,31,11,214,17,1,85,379,1,17,333,78,12,25,14,4336,13,697,0,1255,123,0,17,10784,9,3,8,1086,3997,0,9,1233,5772,6,56,1751,23,15,618,11,94,41,85,10,31,4,2,1,3,1,4,2,1
5,4,0,11,1,2,1,8,3,12,0,3,1,1,2,4,0,33,1,8,2,0,0,0,18,0,1,0,2,2,0,0,0,0,5,0,0,5,0,0,0,25,0,1,1,0,0,4,1,6,0,6,0,9,4,0,0,25,2,3,1,9,9,0,1,12,29,1,1,11,0,11,3,2,12,0,0,2,2,2,0,0,1,0,2,0,0
2,3,1,17,0,4,0,17,5,31,8,1,0,6,45,6,1,132,1,4,10,0,0,0,70,0,6,2,0,4,1,8,0,0,3,0,0,7,0,0,3,105,0,3,6,0,0,8,1,12,0,5,0,27,9,0,1,111,26,1,1,26,23,0,1,28,93,0,1,51,1,6,1,0,20,0,3,32,14,6,1,0,0,0,20,0,0
13,1,0,28,0,9,0,22,10,60,8,66,5,19,2,6,0,159,5,23,14,0,0,0,99,0,17,2,4,0,40,1,0,0,4,0,0,15,1,0,4,159,0,1,7,1,1,27,0,40,1,16,0,72,18,0,1,157,3,3,0,22,84,0,5,49,177,0,1,64,0,8,8,0,27,2,2,6,8,3,0,0,0,0,12,0,0
4,1,3,29,0,2,0,17,4,36,8,1,0,4,3,7,0,124,3,5,10,0,0,0,100,0,12,0,1,40,0,0,0,0,1,0,0,1,1,0,3,127,0,2,7,2,1,10,1,32,0,5,0,48,12,0,2,136,1,3,0,11,50,0,1,32,136,0,3,60,0,5,3,0,12,0,1,2,2,2,0,1,0,0,1,1,0
3,0,0,12,0,1,0,12,0,11,11,0,1,15,11,1,0,38,1,0,3,0,0,0,19,0,3,0,8,1,0,0,1,0,1,0,0,3,0,0,1,37,0,1,1,0,0,4,0,11,0,1,0,10,3,0,1,44,2,2,0,12,14,0,1,14,40,0,1,13,1,5,0,0,2,0,1,19,1,0,0,0,0,0,15,0,0
0,1,0,2,0,1,0,7,0,24,11,0,0,4,0,3,0,24,3,0,1,1,0,0,33,0,4,0,0,0,0,1,0,0,1,0,0,5,1,0,1,2,0,0,0,1,0,0,0,11,0,6,0,8,1,0,0,47,0,0,0,141,10,0,0,14,36,0,1,13,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,39,1,18,1,24,6,55,25,8,3,16,11,7,0,174,9,23,10,0,1,0,110,0,28,5,3,4,1,1,1,0,0,2,1,17,1,0,5,97,0,2,7,2,2,20,1,32,0,16,0,56,15,0,5,210,2,4,0,29,86,0,3,63,191,0,5,53,1,35,8,3,122,2,4,9,8,0,0,1,1,0,5,1,0
1,0,0,42,0,167,0,98,2,107,36,0,30,10,0,10,0,77,30,2,6,0,0,0,115,0,31,0,0,0,0,0,0,0,2,0,2,44,0,0,0,19,0,0,1,0,0,0,0,61,3,22,0,43,5,0,0,250,1,0,1,26,86,0,0,35,136,0,0,43,4,2,22,1,12,9,4,0,4,1,0,0,1,0,1,0,0
2,0,0,17,0,14,0,4,2,17,5,2,7,1,1,3,0,18,16,0,1,0,0,0,16,0,11,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,0,0,2,0,0,0,0,18,4,0,0,8,1,0,0,38,0,0,0,8,11,0,0,4,26,0,0,8,3,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,7,7,428,8,343,60,382,43,568,140,9,190,101,11,69,1,871,180,8,56,0,1,0,878,0,214,5,7,15,1,3,5,0,17,44,2,0,13,6,5,436,2,10,54,6,5,10,1,324,11,181,0,431,68,0,7,1605,6,3,8,537,404,0,15,392,1119,0,10,418,20,14,161,10,63,21,22,3,59,10,1,1,2,0,8,4,0
0,6,7,20,5,17,0,41,1,71,10,0,0,7,1,6,0,46,9,1,4,0,0,0,69,0,17,0,0,1,1,0,1,0,1,0,0,13,0,0,2,20,0,4,6,11,2,1,1,40,0,24,0,33,4,0,3,177,0,0,0,43,53,0,0,20,91,1,1,38,0,0,14,2,4,0,2,1,0,1,0,1,0,0,1,0,0
0,0,0,8,2,8,1,4,0,7,4,1,8,0,0,3,0,4,2,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,1,0,0,0,0,0,0,10,0,3,0,1,0,1,0,25,0,0,0,4,5,0,0,4,9,0,0,2,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0
0,257,10,101,4,16,0,114,11,356,46,3,0,20,7,20,0,345,19,0,22,0,5,0,326,0,85,0,3,4,3,1,1,0,5,0,0,5,2,0,0,69,0,16,29,11,8,7,243,282,0,67,0,90,35,0,17,620,0,0,3,104,170,0,5,92,519,1,82,185,5,3,40,2,22,0,11,3,4,0,0,2,2,0,2,0,0
